"Durazno", 159.06, 704
"Pomelo", 42.69, 999
"Lima", 1239.11, 198
"Frutilla", 270.42, 336
"Cebolla", 64.99, 840
"Choclo", 61.19, 336
"Frutilla", 281.78, 273
"Banana", 45.02, 990
"Zuccini", 78.17, 648
"Batata", 14.28, 880
"Durazno", 145.64, 912
"Palta", 1206.79, 388
"Rabanito", 263.02, 276
"Mandarina", 27.79, 970
"Durazno", 142.12, 872
"Morrón", 2944.06, 504
"Lima", 1161.63, 220
"Frambuesa", 1978.21, 89
"Higo", 2560.97, 103
"Durazno", 132.76, 848
"Cebolla", 65.03, 864
"Acelga", 20.69, 963
"Espárrago", 606.32, 194
"Limon", 323.72, 784
"Kiwi", 424.91, 332
"Batata", 14.80, 1000
"Pomelo", 49.54, 918
"Mandarina", 25.21, 1130
"Brócoli", 376.49, 336
"Melón", 105.75, 396
"Champignon", 3552.05, 97
"Palta", 1131.38, 372
"Limon", 323.68, 749
"Coliflor", 15.41, 495
"Coliflor", 28.43, 560
"Lima", 1380.46, 206
